transaction_id,date,category,amount,payment_method,city,is_essential,year,month,month_name,day_name,quarter,week
EXP1043,2025-01-01,Food,2152.74,UPI,Bangalore,True,2025,1,Jan,Wednesday,2025Q1,1
EXP1106,2025-01-01,Entertainment,932.05,Cash,Delhi,False,2025,1,Jan,Wednesday,2025Q1,1
EXP1030,2025-01-01,Bills,2639.97,Cash,Delhi,True,2025,1,Jan,Wednesday,2025Q1,1
EXP1073,2025-01-02,Bills,2469.6,Cash,Pune,True,2025,1,Jan,Thursday,2025Q1,1
EXP1161,2025-01-02,Shopping,2849.38,UPI,Bangalore,False,2025,1,Jan,Thursday,2025Q1,1
EXP1198,2025-01-03,Bills,2482.12,Card,Hyderabad,True,2025,1,Jan,Friday,2025Q1,1
EXP1042,2025-01-03,Shopping,1706.37,Card,Bangalore,False,2025,1,Jan,Friday,2025Q1,1
EXP1132,2025-01-04,Groceries,1074.78,Card,Mumbai,True,2025,1,Jan,Saturday,2025Q1,1
EXP1087,2025-01-04,Transport,2236.04,Cash,Mumbai,True,2025,1,Jan,Saturday,2025Q1,1
EXP1134,2025-01-04,Groceries,1816.49,Card,Hyderabad,True,2025,1,Jan,Saturday,2025Q1,1
EXP1146,2025-01-04,Entertainment,1769.81,Cash,Mumbai,False,2025,1,Jan,Saturday,2025Q1,1
EXP1141,2025-01-04,Transport,678.15,UPI,Delhi,True,2025,1,Jan,Saturday,2025Q1,1
EXP1084,2025-01-06,Entertainment,709.22,UPI,Pune,False,2025,1,Jan,Monday,2025Q1,2
EXP1112,2025-01-06,Transport,2953.41,Card,Hyderabad,True,2025,1,Jan,Monday,2025Q1,2
EXP1136,2025-01-07,Entertainment,1199.4,UPI,Mumbai,False,2025,1,Jan,Tuesday,2025Q1,2
EXP1054,2025-01-07,Bills,2997.92,UPI,Hyderabad,True,2025,1,Jan,Tuesday,2025Q1,2
EXP1192,2025-01-08,Transport,2398.62,Card,Pune,True,2025,1,Jan,Wednesday,2025Q1,2
EXP1062,2025-01-08,Shopping,332.32,UPI,Hyderabad,False,2025,1,Jan,Wednesday,2025Q1,2
EXP1026,2025-01-09,Groceries,1206.7,Cash,Delhi,True,2025,1,Jan,Thursday,2025Q1,2
EXP1044,2025-01-09,Food,2592.94,UPI,Delhi,True,2025,1,Jan,Thursday,2025Q1,2
EXP1071,2025-01-09,Transport,1171.63,UPI,Mumbai,True,2025,1,Jan,Thursday,2025Q1,2
EXP1036,2025-01-11,Bills,1509.37,UPI,Delhi,True,2025,1,Jan,Saturday,2025Q1,2
EXP1185,2025-01-11,Transport,795.61,Card,Hyderabad,True,2025,1,Jan,Saturday,2025Q1,2
EXP1135,2025-01-11,Bills,1342.98,Cash,Bangalore,True,2025,1,Jan,Saturday,2025Q1,2
EXP1164,2025-01-12,Entertainment,742.63,Card,Bangalore,False,2025,1,Jan,Sunday,2025Q1,2
EXP1197,2025-01-12,Transport,2889.54,Card,Delhi,True,2025,1,Jan,Sunday,2025Q1,2
EXP1003,2025-01-12,Transport,774.72,Card,Hyderabad,True,2025,1,Jan,Sunday,2025Q1,2
EXP1048,2025-01-13,Food,2011.05,Cash,Mumbai,True,2025,1,Jan,Monday,2025Q1,3
EXP1184,2025-01-13,Transport,1913.99,Cash,Pune,True,2025,1,Jan,Monday,2025Q1,3
EXP1148,2025-01-14,Bills,2340.19,Card,Delhi,True,2025,1,Jan,Tuesday,2025Q1,3
